nCH	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6		Pulse	Threshold
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3507
 [04]	00306	00654	00695	00613	01000	01000		00066	-3235
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3301
 [04]	00306	00654	00695	00613	01000	01000		00048	-2808
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3306
 [04]	00306	00654	00695	00613	01000	01000		00047	-3007
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3107
 [04]	00306	00654	00695	00613	01000	01000		00050	-2846
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3014
 [04]	00306	00654	00695	00613	01000	01000		00666	-3035
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3396
 [04]	00306	00654	00695	00613	01000	01000		00065	-2712
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2886
 [04]	00306	00654	00695	00613	01000	01000		00048	-2920
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3194
 [04]	00306	00654	00695	00613	01000	01000		00046	-2492
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2702
 [04]	00306	00654	00695	00613	01000	01000		00049	-2305
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2595
 [04]	00306	00654	00695	00613	01000	01000		00666	-2572
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3560
 [04]	00306	00654	00695	00613	01000	01000		00066	-3126
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3362
 [04]	00306	00654	00695	00613	01000	01000		00048	-2734
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3359
 [04]	00306	00654	00695	00613	01000	01000		00047	-2905
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3175
 [04]	00306	00654	00695	00613	01000	01000		00050	-2765
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3073
 [04]	00306	00654	00695	00613	01000	01000		00666	-2952
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3459
 [04]	00306	00654	00695	00613	01000	01000		00066	-3284
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3252
 [04]	00306	00654	00695	00613	01000	01000		00048	-2856
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3252
 [04]	00306	00654	00695	00613	01000	01000		00047	-3060
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3071
 [04]	00306	00654	00695	00613	01000	01000		00050	-2912
 [04]	00306	00654	00695	00613	01000	01000		-0016	-2974
 [04]	00306	00654	00695	00613	01000	01000		00666	-2527
 [04]	00306	00654	00695	00613	01000	01000		-0017	-3020
 [04]	00306	00654	00695	00613	01000	01000		00065	-2781
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3418
 [04]	00306	00654	00695	00613	01000	01000		00048	-2669
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2811
 [04]	00306	00654	00695	00613	01000	01000		00046	-2557
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3236
 [04]	00306	00654	00695	00613	01000	01000		00050	-2685
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3140
 [04]	00306	00654	00695	00613	01000	01000		00666	-2860
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3528
 [04]	00306	00654	00695	00613	01000	01000		00066	-3192
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3313
 [04]	00306	00654	00695	00613	01000	01000		00048	-2786
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3323
 [04]	00306	00654	00695	00613	01000	01000		00047	-2966
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3129
 [04]	00306	00654	00695	00613	01000	01000		00050	-2825
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3042
